0.1542249068028535,24140,386,1024,666,285,460
0.17475834682491345,14422,892,381,1160,416,467
0.15831021396240916,19925,145,1349,491,492,355
0.15258333266876786,16653,546,1256,295,166,419
0.18591266645250693,23869,444,668,914,130,98
0.16421023760324732,24942,471,3711,1219,228,187
0.15371614050321636,32643,413,1132,893,472,475
0.20179033346149722,19361,383,215,882,504,0
0.15128042507635667,19025,886,1658,1963,111,508
0.18860797062590046,2786,15,2019,1583,0,7
0.18005710913392198,10659,465,216,109,423,430
0.15148815176335315,27133,925,2750,667,317,461
0.18124114333644,14005,512,693,1424,171,221
0.1937804632212899,6079,547,2779,310,217,82
0.16528469742232965,16781,462,2040,1668,437,354
0.18323728358522684,10928,379,3713,1405,462,10
0.1816482223327804,5623,84,2937,1103,110,39
0.17732483923126344,12610,760,646,986,166,499
0.17272751844491024,8510,593,1274,1119,466,58
0.15325670121505727,32702,101,3201,81,173,71
0.18824130989501928,3908,724,2034,200,272,407
